Name,Price,Site
Pop Eyeliner - Dark matter Black Matte - 4ml,Rs. 375.0,Kindlife
Pop Eyeliner -Fading Love Pink Matte - 4ml,Rs. 375.0,Kindlife
Pop Eyeliner - High Maintenance Cyan Green Matte - 4ml,Rs. 375.0,Kindlife
Pop Eyeliner -Honeycomb Yellow Matte - 4ml,Rs. 375.0,Kindlife
Pop Eyeliner - Cloud Nine White Mettalic - 4ml,Rs. 375.0,Kindlife
Pop Eyeliner - Eternal Eclipse Rust Mettalic - 4ml,Rs. 375.0,Kindlife
Pop Eyeliner - Lucid Dreaming Purple Mettalic - 4ml,Rs. 375.0,Kindlife
Pop Eyeliner - Space Goddess Pink Mettalic - 4ml,Rs. 375.0,Kindlife
Pop Eyeliner - Power Move Emerald Mettalic - 4ml,Rs. 375.0,Kindlife
Eye Gotta Feeling Devil's Advocate-Orange - Pop Eyeliner Matte,Rs. 375.0,Kindlife
Maybelline New York Colossal Kajal - Black (0.35g),Rs. 412.0,Tira Beauty
Lakme 9 To 5 Eyeconic Liquid Liner - Intense Black (4.5ml),Rs. 412.0,Tira Beauty
Kay Beauty Quick Dry Liquid Eyeliner,Rs. 449.0,Nykaa
Maybelline New York Tattoo Eye Liner Gel Color Pencil Metall...,Rs. 499.0,Nykaa
Maybelline New York Lasting Drama Gel Eyeliner With Expert E...,Rs. 500.0,Nykaa
Lakme Eyeconic Pro Brush Liner,Rs. 539.0,Nykaa
SUGAR Wingman Waterproof Microliner - 01 I'll Be Black(1.6ml...,Rs. 557.0,Nykaa
Maybelline New York Line Tattoo High Impact Liner - Intense ...,Rs. 599.0,Nykaa
NYX Professional Makeup Epic Ink Liner,Rs. 699.0,Nykaa
"Eye Gotta Feeling (Eyeliner, Kajal, Mascara) - Ultimate Black Combo",Rs. 729.0,Kindlife
M.A.C In Extreme Dimension 24Hr Kajal Eye Liner,Rs. 750.0,Nykaa
Maybelline New York Colossal Combo - Kajal & Eyeliner,Rs. 819.0,Tira Beauty
Faces Canada Ultime Pro Mini A Matte Made In Heaven Ink Eyeliner - Black (0.6ml),Rs. 819.0,Tira Beauty
Insight Cosmetics All Things Good Kit,Rs. 1877.0,Nykaa
